actual,line,opp.line,outcomeline1,outcomeline2,PredProba,PredProba.opp,EV_1,EV_2,BestEV,makeBet,Bet,Net
0,1200,-3000,12000.0,33.33333333333333,0.007965536675074264,0.9920344633249257,95.58644010089117,33.06781544416419,95.58644010089117,False,1,-1000.0
0,1600,-6000,16000.0,16.666666666666664,0.00029075882117995364,0.9997092411788201,4.652141138879259,16.661820686313664,16.661820686313664,False,0,16.661820686313664
0,-185,165,540.5405405405405,1650.0,0.5935691370589223,0.40643086294107766,320.84818219401205,670.6109238527781,670.6109238527781,False,0,670.6109238527781
0,-240,190,416.6666666666667,1900.0,0.6373158716738664,0.3626841283261336,265.548279864111,689.0998438196539,689.0998438196539,False,0,689.0998438196539
1,-140,120,714.2857142857143,1200.0,0.6007144543900871,0.3992855456099129,429.0817531357765,479.1426547318955,479.1426547318955,False,0,-1000.0
0,470,-650,4700.0,153.84615384615387,0.1786709167484633,0.8213290832515368,839.7533087177775,126.35832050023645,839.7533087177775,False,1,-1000.0
0,-250,210,400.0,2100.0,0.5877519477222433,0.41224805227775674,235.1007790888973,865.7209097832891,865.7209097832891,False,0,865.7209097832891
1,-670,495,149.2537313432836,4950.0,0.8102735267843039,0.18972647321569613,120.93634728123939,939.1460424176959,939.1460424176959,False,0,-1000.0
0,100,-120,1000.0,833.3333333333334,0.42110654618433424,0.5788934538156658,421.10654618433426,482.41121151305487,482.41121151305487,False,0,482.41121151305487
0,-750,525,133.33333333333331,5250.0,0.8315687361532579,0.16843126384674212,110.87583148710104,884.2641351953961,884.2641351953961,False,0,884.2641351953961
0,160,-180,1600.0,555.5555555555555,0.40683613670189783,0.5931638632981022,650.9378187230366,329.53547961005677,650.9378187230366,False,1,-1000.0
0,175,-200,1750.0,500.0,0.34809621983001937,0.6519037801699806,609.1683847025339,325.95189008499034,609.1683847025339,False,1,-1000.0
0,-105,-115,952.3809523809524,869.5652173913043,0.5310025097868879,0.4689974902131121,505.7166759875123,407.82390453314093,505.7166759875123,False,1,-1000.0
0,-160,140,625.0,1400.0,0.5492194283338955,0.4507805716661045,343.2621427086847,631.0928003325463,631.0928003325463,False,0,631.0928003325463
0,425,-550,4250.0,181.8181818181818,0.2642096818289677,0.7357903181710324,1122.8911477731128,133.78005784927862,1122.8911477731128,True,1,-1000.0
1,-135,115,740.7407407407408,1150.0,0.6384322414696512,0.36156775853034884,472.91277145900085,415.80292230990113,472.91277145900085,False,1,472.91277145900085
1,-210,180,476.1904761904762,1800.0,0.609392987541738,0.390607012458262,290.1871369246371,703.0926224248716,703.0926224248716,False,0,-1000.0
1,-125,105,800.0,1050.0,0.5851179142047028,0.4148820857952972,468.09433136376225,435.62619008506203,468.09433136376225,False,1,468.09433136376225
0,-205,175,487.8048780487805,1750.0,0.597603281001149,0.402396718998851,291.5137956103166,704.1942582479892,704.1942582479892,False,0,704.1942582479892
1,-385,315,259.7402597402597,3150.0,0.7182068672868108,0.2817931327131892,186.54723825631447,887.6483680465459,887.6483680465459,False,0,-1000.0
1,110,-130,1100.0,769.2307692307693,0.4136202986141985,0.5863797013858014,454.9823284756184,451.0613087583088,454.9823284756184,False,1,454.9823284756184
1,-110,-110,909.0909090909091,909.0909090909091,0.513327691231855,0.48667230876814505,466.6615374835045,442.4293716074046,466.6615374835045,False,1,466.6615374835045
0,-135,115,740.7407407407408,1150.0,0.6400108264346109,0.35998917356538906,474.0820936552674,413.98754960019744,474.0820936552674,False,1,-1000.0
0,125,-145,1250.0,689.655172413793,0.4692879290126191,0.5307120709873809,586.6099112657739,366.00832481888335,586.6099112657739,False,1,-1000.0
0,575,-800,5750.0,125.0,0.17425417103499086,0.8257458289650091,1001.9614834511974,103.21822862062615,1001.9614834511974,True,1,-1000.0
0,-180,155,555.5555555555555,1550.0,0.5968309970576912,0.40316900294230884,331.5727761431618,624.9119545605787,624.9119545605787,False,0,624.9119545605787
1,-425,345,235.29411764705884,3450.0,0.7447578165535211,0.25524218344647887,175.23713330671086,880.585532890352,880.585532890352,False,0,-1000.0
1,-215,185,465.1162790697675,1850.0,0.6162182491991901,0.3837817508008099,286.61313916241403,709.9962389814983,709.9962389814983,False,0,-1000.0
1,-440,340,227.27272727272728,3400.0,0.7331044669721815,0.26689553302781854,166.6146515845867,907.444812294583,907.444812294583,False,0,-1000.0
0,-380,320,263.15789473684214,3200.0,0.6910754362580129,0.30892456374198707,181.8619569100034,988.5586039743587,988.5586039743587,False,0,988.5586039743587
1,-250,210,400.0,2100.0,0.6918893685167212,0.3081106314832788,276.7557474066885,647.0323261148854,647.0323261148854,False,0,-1000.0
1,-210,175,476.1904761904762,1750.0,0.6732767682161392,0.32672323178386076,320.6079848648282,571.7656556217563,571.7656556217563,False,0,-1000.0
1,-900,600,111.11111111111111,6000.0,0.894266870216912,0.10573312978308802,99.3629855796569,634.3987786985281,634.3987786985281,False,0,-1000.0
0,185,-215,1850.0,465.1162790697675,0.362020934141263,0.637979065858737,669.7387281613366,296.73444923662186,669.7387281613366,False,1,-1000.0
